AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|0.8|1.0|0.9|551|Incidence|60516709|Non-Hodgkin Lymphoma|2006
0-19|1.1|1.2|1.1|943|Incidence|82324418|Non-Hodgkin Lymphoma|2006
0-14|0.4|0.5|0.5|296|Mortality|60516709|Other|2006
0-19|0.5|0.6|0.5|413|Mortality|82324418|Other|2006
0-14|3.2|3.5|3.3|2054|Incidence|60516709|Other|2006
0-19|4.5|4.8|4.6|3876|Incidence|82324418|Other|2006
0-14|0.1|0.2|0.1|80|Mortality|60516709|Soft Tissue|2006
0-19|0.1|0.2|0.2|140|Mortality|82324418|Soft Tissue|2006
0-14|0.9|1.1|1.0|595|Incidence|60516709|Soft Tissue|2006
0-19|0.9|1.1|1.0|826|Incidence|82324418|Soft Tissue|2006
0-14|0.3|0.4|0.4|212|Mortality|60681615|Acute Lymphocytic|2007
0-19|0.3|0.4|0.4|294|Mortality|82749431|Acute Lymphocytic|2007
0-14|3.8|4.1|4.0|2426|Incidence|60681615|Acute Lymphocytic|2007
0-19|3.3|3.5|3.4|2797|Incidence|82749431|Acute Lymphocytic|2007
0-14|0.2|0.3|0.2|129|Mortality|60681615|Acute Myeloid|2007
0-19|0.2|0.3|0.2|195|Mortality|82749431|Acute Myeloid|2007
0-14|0.6|0.7|0.7|415|Incidence|60681615|Acute Myeloid|2007
0-19|0.6|0.8|0.7|585|Incidence|82749431|Acute Myeloid|2007
0-14|2.2|2.4|2.3|1395|Mortality|60681615|All Cancer Sites Combined|2007
0-19|2.4|2.6|2.5|2068|Mortality|82749431|All Cancer Sites Combined|2007
0-14|15.9|16.5|16.2|9910|Incidence|60681615|All Cancer Sites Combined|2007
0-19|17.4|18.0|17.7|14789|Incidence|82749431|All Cancer Sites Combined|2007
0-14|0.1|0.1|0.1|61|Mortality|60681615|Bones and Joints|2007
0-19|0.2|0.2|0.2|172|Mortality|82749431|Bones and Joints|2007
0-14|0.6|0.8|0.7|427|Incidence|60681615|Bones and Joints|2007
0-19|0.8|1.0|0.9|753|Incidence|82749431|Bones and Joints|2007
0-14|0.6|0.8|0.7|426|Mortality|60681615|Brain and Other Nervous System|2007
0-19|0.6|0.7|0.6|521|Mortality|82749431|Brain and Other Nervous System|2007
0-14|3.5|3.8|3.6|2205|Incidence|60681615|Brain and Other Nervous System|2007
0-19|3.2|3.4|3.3|2702|Incidence|82749431|Brain and Other Nervous System|2007
0-14|~|~|~|~|Mortality|60681615|Hodgkin Lymphoma|2007
0-19|0.0|0.0|0.0|19|Mortality|82749431|Hodgkin Lymphoma|2007
0-14|0.5|0.6|0.5|332|Incidence|60681615|Hodgkin Lymphoma|2007
0-19|1.1|1.3|1.2|1037|Incidence|82749431|Hodgkin Lymphoma|2007
0-14|0.0|0.1|0.1|36|Mortality|60681615|Kidney and Renal Pelvis|2007
0-19|0.0|0.1|0.1|47|Mortality|82749431|Kidney and Renal Pelvis|2007
0-14|0.8|1.0|0.9|544|Incidence|60681615|Kidney and Renal Pelvis|2007
0-19|0.7|0.8|0.7|587|Incidence|82749431|Kidney and Renal Pelvis|2007
0-14|0.7|0.8|0.7|441|Mortality|60681615|Leukemia|2007
0-19|0.7|0.8|0.8|643|Mortality|82749431|Leukemia|2007
0-14|4.9|5.2|5.0|3068|Incidence|60681615|Leukemia|2007
0-19|4.4|4.7|4.5|3719|Incidence|82749431|Leukemia|2007
0-14|0.0|0.1|0.1|40|Mortality|60681615|Non-Hodgkin Lymphoma|2007
0-19|0.1|0.1|0.1|87|Mortality|82749431|Non-Hodgkin Lymphoma|2007
0-14|0.9|1.1|1.0|596|Incidence|60681615|Non-Hodgkin Lymphoma|2007
0-19|1.1|1.2|1.2|977|Incidence|82749431|Non-Hodgkin Lymphoma|2007
0-14|0.4|0.6|0.5|306|Mortality|60681615|Other|2007
0-19|0.5|0.6|0.5|439|Mortality|82749431|Other|2007
0-14|3.2|3.5|3.4|2087|Incidence|60681615|Other|2007
0-19|4.7|5.0|4.8|4092|Incidence|82749431|Other|2007
0-14|0.1|0.2|0.1|82|Mortality|60681615|Soft Tissue|2007
0-19|0.1|0.2|0.2|140|Mortality|82749431|Soft Tissue|2007
0-14|1.0|1.1|1.1|651|Incidence|60681615|Soft Tissue|2007
0-19|1.0|1.2|1.1|922|Incidence|82749431|Soft Tissue|2007
0-14|0.2|0.3|0.3|176|Mortality|60907384|Acute Lymphocytic|2008
0-19|0.3|0.3|0.3|253|Mortality|83118264|Acute Lymphocytic|2008
0-14|3.9|4.2|4.1|2504|Incidence|60907384|Acute Lymphocytic|2008
0-19|3.4|3.6|3.5|2878|Incidence|83118264|Acute Lymphocytic|2008
0-14|0.2|0.2|0.2|127|Mortality|60907384|Acute Myeloid|2008
0-19|0.2|0.3|0.2|183|Mortality|83118264|Acute Myeloid|2008
0-14|0.6|0.8|0.7|435|Incidence|60907384|Acute Myeloid|2008
0-19|0.7|0.8|0.7|625|Incidence|83118264|Acute Myeloid|2008
0-14|2.1|2.3|2.2|1354|Mortality|60907384|All Cancer Sites Combined|2008
0-19|2.3|2.5|2.4|2039|Mortality|83118264|All Cancer Sites Combined|2008
0-14|16.1|16.8|16.5|10105|Incidence|60907384|All Cancer Sites Combined|2008
0-19|17.6|18.2|17.9|15012|Incidence|83118264|All Cancer Sites Combined|2008
0-14|0.1|0.1|0.1|62|Mortality|60907384|Bones and Joints|2008
0-19|0.2|0.2|0.2|182|Mortality|83118264|Bones and Joints|2008
0-14|0.6|0.8|0.7|424|Incidence|60907384|Bones and Joints|2008
0-19|0.8|1.0|0.9|748|Incidence|83118264|Bones and Joints|2008
0-14|0.6|0.8|0.7|429|Mortality|60907384|Brain and Other Nervous System|2008
0-19|0.6|0.7|0.6|533|Mortality|83118264|Brain and Other Nervous System|2008
0-14|3.5|3.8|3.6|2223|Incidence|60907384|Brain and Other Nervous System|2008
0-19|3.2|3.4|3.3|2743|Incidence|83118264|Brain and Other Nervous System|2008
0-14|~|~|~|~|Mortality|60907384|Hodgkin Lymphoma|2008
0-19|~|~|~|~|Mortality|83118264|Hodgkin Lymphoma|2008
0-14|0.6|0.7|0.6|383|Incidence|60907384|Hodgkin Lymphoma|2008
0-19|1.2|1.4|1.3|1106|Incidence|83118264|Hodgkin Lymphoma|2008
0-14|0.1|0.1|0.1|46|Mortality|60907384|Kidney and Renal Pelvis|2008
0-19|0.0|0.1|0.1|52|Mortality|83118264|Kidney and Renal Pelvis|2008
0-14|0.8|1.0|0.9|571|Incidence|60907384|Kidney and Renal Pelvis|2008
0-19|0.7|0.8|0.7|620|Incidence|83118264|Kidney and Renal Pelvis|2008
0-14|0.6|0.7|0.7|402|Mortality|60907384|Leukemia|2008
0-19|0.7|0.8|0.7|598|Mortality|83118264|Leukemia|2008
0-14|5.0|5.3|5.2|3163|Incidence|60907384|Leukemia|2008
0-19|4.5|4.8|4.6|3833|Incidence|83118264|Leukemia|2008
0-14|0.0|0.1|0.1|39|Mortality|60907384|Non-Hodgkin Lymphoma|2008
0-19|0.1|0.1|0.1|93|Mortality|83118264|Non-Hodgkin Lymphoma|2008
0-14|0.9|1.0|1.0|580|Incidence|60907384|Non-Hodgkin Lymphoma|2008
0-19|1.1|1.2|1.2|967|Incidence|83118264|Non-Hodgkin Lymphoma|2008
0-14|0.4|0.5|0.5|286|Mortality|60907384|Other|2008
0-19|0.4|0.5|0.5|407|Mortality|83118264|Other|2008
0-14|3.2|3.5|3.4|2092|Incidence|60907384|Other|2008
0-19|4.6|4.9|4.8|4080|Incidence|83118264|Other|2008
0-14|0.1|0.2|0.1|89|Mortality|60907384|Soft Tissue|2008
0-19|0.2|0.2|0.2|160|Mortality|83118264|Soft Tissue|2008
0-14|1.0|1.2|1.1|669|Incidence|60907384|Soft Tissue|2008
0-19|1.0|1.2|1.1|915|Incidence|83118264|Soft Tissue|2008
0-14|0.2|0.3|0.3|174|Mortality|61087581|Acute Lymphocytic|2009
0-19|0.3|0.3|0.3|240|Mortality|83280391|Acute Lymphocytic|2009
0-14|3.9|4.2|4.1|2516|Incidence|61087581|Acute Lymphocytic|2009
0-19|3.3|3.6|3.5|2870|Incidence|83280391|Acute Lymphocytic|2009
0-14|0.2|0.2|0.2|119|Mortality|61087581|Acute Myeloid|2009
0-19|0.2|0.3|0.2|182|Mortality|83280391|Acute Myeloid|2009
0-14|0.6|0.7|0.6|399|Incidence|61087581|Acute Myeloid|2009
0-19|0.6|0.7|0.7|579|Incidence|83280391|Acute Myeloid|2009
0-14|2.0|2.3|2.2|1320|Mortality|61087581|All Cancer Sites Combined|2009
0-19|2.2|2.5|2.3|1964|Mortality|83280391|All Cancer Sites Combined|2009
0-14|16.0|16.6|16.3|10026|Incidence|61087581|All Cancer Sites Combined|2009
0-19|17.5|18.1|17.8|14953|Incidence|83280391|All Cancer Sites Combined|2009
0-14|0.1|0.2|0.1|77|Mortality|61087581|Bones and Joints|2009
0-19|0.2|0.2|0.2|179|Mortality|83280391|Bones and Joints|2009
0-14|0.7|0.8|0.7|434|Incidence|61087581|Bones and Joints|2009
0-19|0.9|1.0|0.9|768|Incidence|83280391|Bones and Joints|2009
0-14|0.6|0.7|0.7|402|Mortality|61087581|Brain and Other Nervous System|2009
0-19|0.6|0.7|0.6|522|Mortality|83280391|Brain and Other Nervous System|2009
0-14|3.5|3.8|3.6|2209|Incidence|61087581|Brain and Other Nervous System|2009
0-19|3.1|3.4|3.3|2707|Incidence|83280391|Brain and Other Nervous System|2009
0-14|~|~|~|~|Mortality|61087581|Hodgkin Lymphoma|2009
0-19|0.0|0.0|0.0|22|Mortality|83280391|Hodgkin Lymphoma|2009
0-14|0.5|0.6|0.6|347|Incidence|61087581|Hodgkin Lymphoma|2009
0-19|1.2|1.3|1.3|1080|Incidence|83280391|Hodgkin Lymphoma|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Kidney and Renal Pelvis|2009
0-19|0.0|0.1|0.1|45|Mortality|83280391|Kidney and Renal Pelvis|2009
0-14|0.9|1.0|1.0|593|Incidence|61087581|Kidney and Renal Pelvis|2009
0-19|0.7|0.8|0.8|637|Incidence|83280391|Kidney and Renal Pelvis|2009
0-14|0.6|0.7|0.6|389|Mortality|61087581|Leukemia|2009
0-19|0.6|0.7|0.7|561|Mortality|83280391|Leukemia|2009
0-14|4.9|5.3|5.1|3129|Incidence|61087581|Leukemia|2009
0-19|4.4|4.7|4.5|3760|Incidence|83280391|Leukemia|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Non-Hodgkin Lymphoma|2009
0-19|0.1|0.1|0.1|75|Mortality|83280391|Non-Hodgkin Lymphoma|2009
0-14|0.9|1.0|0.9|575|Incidence|61087581|Non-Hodgkin Lymphoma|2009
0-19|1.1|1.2|1.1|948|Incidence|83280391|Non-Hodgkin Lymphoma|2009
0-14|0.4|0.5|0.4|271|Mortality|61087581|Other|2009
0-19|0.4|0.5|0.5|396|Mortality|83280391|Other|2009
0-14|3.3|3.5|3.4|2097|Incidence|61087581|Other|2009
0-19|4.7|5.0|4.9|4135|Incidence|83280391|Other|2009
0-14|0.1|0.2|0.2|98|Mortality|61087581|Soft Tissue|2009
0-19|0.2|0.2|0.2|164|Mortality|83280391|Soft Tissue|2009
0-14|1.0|1.1|1.0|642|Incidence|61087581|Soft Tissue|2009
0-19|1.0|1.2|1.1|918|Incidence|83280391|Soft Tissue|2009
0-14|0.2|0.3|0.3|164|Mortality|61200646|Acute Lymphocytic|2010
0-19|0.2|0.3|0.3|230|Mortality|83181970|Acute Lymphocytic|2010
0-14|3.9|4.2|4.1|2512|Incidence|61200646|Acute Lymphocytic|2010
0-19|3.3|3.6|3.4|2844|Incidence|83181970|Acute Lymphocytic|2010
0-14|0.2|0.3|0.2|131|Mortality|61200646|Acute Myeloid|2010
0-19|0.2|0.3|0.2|198|Mortality|83181970|Acute Myeloid|2010
0-14|0.6|0.8|0.7|431|Incidence|61200646|Acute Myeloid|2010
0-19|0.7|0.8|0.8|631|Incidence|83181970|Acute Myeloid|2010
0-14|2.0|2.3|2.2|1324|Mortality|61200646|All Cancer Sites Combined|2010
0-19|2.2|2.4|2.3|1925|Mortality|83181970|All Cancer Sites Combined|2010
0-14|16.7|17.4|17.1|10485|Incidence|61200646|All Cancer Sites Combined|2010
0-19|17.9|18.5|18.2|15238|Incidence|83181970|All Cancer Sites Combined|2010
0-14|0.1|0.2|0.1|75|Mortality|61200646|Bones and Joints|2010
0-19|0.2|0.2|0.2|166|Mortality|83181970|Bones and Joints|2010
0-14|0.6|0.8|0.7|423|Incidence|61200646|Bones and Joints|2010
0-19|0.8|0.9|0.9|716|Incidence|83181970|Bones and Joints|2010
0-14|0.6|0.7|0.7|410|Mortality|61200646|Brain and Other Nervous System|2010
0-19|0.6|0.7|0.6|498|Mortality|83181970|Brain and Other Nervous System|2010
0-14|3.6|3.9|3.7|2290|Incidence|61200646|Brain and Other Nervous System|2010
0-19|3.2|3.5|3.3|2765|Incidence|83181970|Brain and Other Nervous System|2010
0-14|~|~|~|~|Mortality|61200646|Hodgkin Lymphoma|2010
0-19|~|~|~|~|Mortality|83181970|Hodgkin Lymphoma|2010
0-14|0.5|0.6|0.5|323|Incidence|61200646|Hodgkin Lymphoma|2010
0-19|1.1|1.3|1.2|1032|Incidence|83181970|Hodgkin Lymphoma|2010
0-14|0.1|0.1|0.1|46|Mortality|61200646|Kidney and Renal Pelvis|2010
0-19|0.1|0.1|0.1|56|Mortality|83181970|Kidney and Renal Pelvis|2010
0-14|0.8|1.0|0.9|543|Incidence|61200646|Kidney and Renal Pelvis|2010
0-19|0.6|0.8|0.7|576|Incidence|83181970|Kidney and Renal Pelvis|2010
0-14|0.6|0.7|0.6|390|Mortality|61200646|Leukemia|2010
0-19|0.6|0.7|0.7|553|Mortality|83181970|Leukemia|2010
0-14|4.9|5.3|5.1|3160|Incidence|61200646|Leukemia|2010
0-19|4.4|4.7|4.6|3801|Incidence|83181970|Leukemia|2010
0-14|0.0|0.1|0.1|35|Mortality|61200646|Non-Hodgkin Lymphoma|2010
0-19|0.1|0.1|0.1|75|Mortality|83181970|Non-Hodgkin Lymphoma|2010
0-14|0.9|1.1|1.0|595|Incidence|61200646|Non-Hodgkin Lymphoma|2010
0-19|1.1|1.2|1.1|951|Incidence|83181970|Non-Hodgkin Lymphoma|2010
0-14|0.4|0.5|0.5|286|Mortality|61200646|Other|2010
0-19|0.5|0.6|0.5|419|Mortality|83181970|Other|2010
0-14|3.9|4.2|4.0|2494|Incidence|61200646|Other|2010
0-19|5.2|5.5|5.3|4491|Incidence|83181970|Other|2010
0-14|0.1|0.2|0.1|79|Mortality|61200646|Soft Tissue|2010
0-19|0.1|0.2|0.2|146|Mortality|83181970|Soft Tissue|2010
0-14|1.0|1.2|1.1|657|Incidence|61200646|Soft Tissue|2010
0-19|1.0|1.2|1.1|906|Incidence|83181970|Soft Tissue|2010
0-14|0.2|0.3|0.3|153|Mortality|61169649|Acute Lymphocytic|2011
0-19|0.2|0.3|0.3|223|Mortality|82830017|Acute Lymphocytic|2011
0-14|4.0|4.3|4.2|2562|Incidence|61169649|Acute Lymphocytic|2011
0-19|3.4|3.7|3.5|2936|Incidence|82830017|Acute Lymphocytic|2011
0-14|0.2|0.2|0.2|117|Mortality|61169649|Acute Myeloid|2011
0-19|0.2|0.2|0.2|174|Mortality|82830017|Acute Myeloid|2011
0-14|0.6|0.8|0.7|429|Incidence|61169649|Acute Myeloid|2011
0-19|0.7|0.8|0.8|634|Incidence|82830017|Acute Myeloid|2011
0-14|2.0|2.2|2.1|1283|Mortality|61169649|All Cancer Sites Combined|2011
0-19|2.2|2.4|2.3|1922|Mortality|82830017|All Cancer Sites Combined|2011
0-14|16.7|17.3|17.0|10445|Incidence|61169649|All Cancer Sites Combined|2011
0-19|18.1|18.7|18.4|15301|Incidence|82830017|All Cancer Sites Combined|2011
0-14|0.1|0.2|0.1|73|Mortality|61169649|Bones and Joints|2011
0-19|0.2|0.2|0.2|174|Mortality|82830017|Bones and Joints|2011
0-14|0.7|0.8|0.8|467|Incidence|61169649|Bones and Joints|2011
0-19|0.9|1.0|0.9|762|Incidence|82830017|Bones and Joints|2011
0-14|0.7|0.8|0.7|439|Mortality|61169649|Brain and Other Nervous System|2011
0-19|0.6|0.7|0.7|550|Mortality|82830017|Brain and Other Nervous System|2011
0-14|3.5|3.8|3.7|2245|Incidence|61169649|Brain and Other Nervous System|2011
0-19|3.3|3.5|3.4|2801|Incidence|82830017|Brain and Other Nervous System|2011
0-14|~|~|~|~|Mortality|61169649|Hodgkin Lymphoma|2011
0-19|0.0|0.0|0.0|17|Mortality|82830017|Hodgkin Lymphoma|2011
0-14|0.5|0.6|0.5|316|Incidence|61169649|Hodgkin Lymphoma|2011
0-19|1.1|1.3|1.2|1000|Incidence|82830017|Hodgkin Lymphoma|2011
0-14|0.0|0.1|0.1|39|Mortality|61169649|Kidney and Renal Pelvis|2011
0-19|0.0|0.1|0.1|45|Mortality|82830017|Kidney and Renal Pelvis|2011
0-14|0.9|1.0|0.9|575|Incidence|61169649|Kidney and Renal Pelvis|2011
0-19|0.7|0.8|0.7|619|Incidence|82830017|Kidney and Renal Pelvis|2011
0-14|0.5|0.6|0.6|342|Mortality|61169649|Leukemia|2011
0-19|0.6|0.7|0.6|519|Mortality|82830017|Leukemia|2011
0-14|5.0|5.4|5.2|3200|Incidence|61169649|Leukemia|2011
0-19|4.5|4.8|4.7|3875|Incidence|82830017|Leukemia|2011
0-14|0.0|0.1|0.1|32|Mortality|61169649|Non-Hodgkin Lymphoma|2011
0-19|0.1|0.1|0.1|64|Mortality|82830017|Non-Hodgkin Lymphoma|2011
0-14|0.8|1.0|0.9|560|Incidence|61169649|Non-Hodgkin Lymphoma|2011
0-19|1.1|1.2|1.1|934|Incidence|82830017|Non-Hodgkin Lymphoma|2011
0-14|0.4|0.5|0.4|273|Mortality|61169649|Other|2011
0-19|0.4|0.5|0.5|405|Mortality|82830017|Other|2011
0-14|3.9|4.2|4.0|2465|Incidence|61169649|Other|2011
0-19|5.2|5.5|5.3|4465|Incidence|82830017|Other|2011
0-14|0.1|0.2|0.1|84|Mortality|61169649|Soft Tissue|2011
0-19|0.1|0.2|0.2|148|Mortality|82830017|Soft Tissue|2011
0-14|0.9|1.1|1.0|617|Incidence|61169649|Soft Tissue|2011
0-19|0.9|1.1|1.0|845|Incidence|82830017|Soft Tissue|2011
0-14|0.2|0.3|0.2|152|Mortality|61114199|Acute Lymphocytic|2012
0-19|0.2|0.3|0.3|219|Mortality|82487297|Acute Lymphocytic|2012
0-14|3.8|4.1|4.0|2448|Incidence|61114199|Acute Lymphocytic|2012
0-19|3.2|3.5|3.4|2776|Incidence|82487297|Acute Lymphocytic|2012
0-14|0.2|0.3|0.2|137|Mortality|61114199|Acute Myeloid|2012
0-19|0.2|0.3|0.2|193|Mortality|82487297|Acute Myeloid|2012
0-14|0.6|0.7|0.7|400|Incidence|61114199|Acute Myeloid|2012
0-19|0.7|0.8|0.7|598|Incidence|82487297|Acute Myeloid|2012
0-14|2.1|2.4|2.2|1367|Mortality|61114199|All Cancer Sites Combined|2012
0-19|2.3|2.5|2.4|1995|Mortality|82487297|All Cancer Sites Combined|2012
0-14|16.6|17.3|16.9|10379|Incidence|61114199|All Cancer Sites Combined|2012
0-19|18.2|18.8|18.5|15327|Incidence|82487297|All Cancer Sites Combined|2012
0-14|0.1|0.1|0.1|68|Mortality|61114199|Bones and Joints|2012
0-19|0.2|0.2|0.2|178|Mortality|82487297|Bones and Joints|2012
0-14|0.7|0.8|0.7|456|Incidence|61114199|Bones and Joints|2012
0-19|0.9|1.0|0.9|768|Incidence|82487297|Bones and Joints|2012
0-14|0.7|0.8|0.8|458|Mortality|61114199|Brain and Other Nervous System|2012
0-19|0.6|0.8|0.7|575|Mortality|82487297|Brain and Other Nervous System|2012
0-14|3.5|3.8|3.6|2210|Incidence|61114199|Brain and Other Nervous System|2012
0-19|3.2|3.4|3.3|2711|Incidence|82487297|Brain and Other Nervous System|2012
0-14|~|~|~|~|Mortality|61114199|Hodgkin Lymphoma|2012
0-19|~|~|~|~|Mortality|82487297|Hodgkin Lymphoma|2012
0-14|0.5|0.6|0.6|350|Incidence|61114199|Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.2|1045|Incidence|82487297|Hodgkin Lymphoma|2012
0-14|0.0|0.1|0.0|30|Mortality|61114199|Kidney and Renal Pelvis|2012
0-19|0.0|0.1|0.0|40|Mortality|82487297|Kidney and Renal Pelvis|2012
0-14|0.8|1.0|0.9|545|Incidence|61114199|Kidney and Renal Pelvis|2012
0-19|0.7|0.8|0.7|600|Incidence|82487297|Kidney and Renal Pelvis|2012
0-14|0.6|0.7|0.6|378|Mortality|61114199|Leukemia|2012
0-19|0.6|0.7|0.6|534|Mortality|82487297|Leukemia|2012
0-14|4.8|5.1|5.0|3044|Incidence|61114199|Leukemia|2012
0-19|4.3|4.6|4.5|3683|Incidence|82487297|Leukemia|2012
0-14|0.0|0.1|0.1|36|Mortality|61114199|Non-Hodgkin Lymphoma|2012
0-19|0.1|0.1|0.1|60|Mortality|82487297|Non-Hodgkin Lymphoma|2012
0-14|0.9|1.1|1.0|617|Incidence|61114199|Non-Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.3|1036|Incidence|82487297|Non-Hodgkin Lymphoma|2012
0-14|0.4|0.5|0.5|292|Mortality|61114199|Other|2012
0-19|0.5|0.6|0.5|421|Mortality|82487297|Other|2012
0-14|3.9|4.3|4.1|2517|Incidence|61114199|Other|2012
0-19|5.4|5.7|5.6|4635|Incidence|82487297|Other|2012
0-14|0.1|0.2|0.2|101|Mortality|61114199|Soft Tissue|2012
0-19|0.2|0.2|0.2|177|Mortality|82487297|Soft Tissue|2012
0-14|1.0|1.1|1.0|640|Incidence|61114199|Soft Tissue|2012
0-19|1.0|1.1|1.0|849|Incidence|82487297|Soft Tissue|2012
0-14|0.2|0.3|0.2|726|Mortality|305217663|Acute Lymphocytic|2012-2016
0-19|0.2|0.3|0.3|1047|Mortality|411080354|Acute Lymphocytic|2012-2016
0-14|3.9|4.0|3.9|12041|Incidence|305217663|Acute Lymphocytic|2012-2016
0-19|3.3|3.4|3.4|13813|Incidence|411080354|Acute Lymphocytic|2012-2016
0-14|0.2|0.2|0.2|610|Mortality|305217663|Acute Myeloid|2012-2016
0-19|0.2|0.2|0.2|881|Mortality|411080354|Acute Myeloid|2012-2016
0-14|0.7|0.7|0.7|2178|Incidence|305217663|Acute Myeloid|2012-2016
0-19|0.7|0.8|0.8|3155|Incidence|411080354|Acute Myeloid|2012-2016
0-14|2.1|2.2|2.1|6475|Mortality|305217663|All Cancer Sites Combined|2012-2016
0-19|2.3|2.4|2.3|9521|Mortality|411080354|All Cancer Sites Combined|2012-2016
0-14|17.2|17.5|17.3|53024|Incidence|305217663|All Cancer Sites Combined|2012-2016
0-19|18.7|19.0|18.9|77849|Incidence|411080354|All Cancer Sites Combined|2012-2016
0-14|0.1|0.1|0.1|391|Mortality|305217663|Bones and Joints|2012-2016
0-19|0.2|0.2|0.2|936|Mortality|411080354|Bones and Joints|2012-2016
0-14|0.8|0.8|0.8|2399|Incidence|305217663|Bones and Joints|2012-2016
0-19|0.9|1.0|1.0|3935|Incidence|411080354|Bones and Joints|2012-2016
0-14|0.7|0.7|0.7|2189|Mortality|305217663|Brain and Other Nervous System|2012-2016
0-19|0.7|0.7|0.7|2773|Mortality|411080354|Brain and Other Nervous System|2012-2016
0-14|3.6|3.7|3.6|11116|Incidence|305217663|Brain and Other Nervous System|2012-2016
0-19|3.2|3.4|3.3|13554|Incidence|411080354|Brain and Other Nervous System|2012-2016
0-14|~|~|~|~|Mortality|305217663|Hodgkin Lymphoma|2012-2016
0-19|0.0|0.0|0.0|47|Mortality|411080354|Hodgkin Lymphoma|2012-2016
0-14|0.5|0.6|0.6|1732|Incidence|305217663|Hodgkin Lymphoma|2012-2016
0-19|1.2|1.2|1.2|5040|Incidence|411080354|Hodgkin Lymphoma|2012-2016
0-14|0.0|0.1|0.1|168|Mortality|305217663|Kidney and Renal Pelvis|2012-2016
0-19|0.0|0.1|0.1|215|Mortality|411080354|Kidney and Renal Pelvis|2012-2016
0-14|0.9|1.0|0.9|2822|Incidence|305217663|Kidney and Renal Pelvis|2012-2016
0-19|0.7|0.8|0.7|3083|Incidence|411080354|Kidney and Renal Pelvis|2012-2016
0-14|0.5|0.6|0.6|1718|Mortality|305217663|Leukemia|2012-2016
0-19|0.6|0.6|0.6|2488|Mortality|411080354|Leukemia|2012-2016
0-14|4.9|5.1|5.0|15338|Incidence|305217663|Leukemia|2012-2016
0-19|4.5|4.6|4.5|18643|Incidence|411080354|Leukemia|2012-2016
0-14|0.0|0.1|0.1|170|Mortality|305217663|Non-Hodgkin Lymphoma|2012-2016
0-19|0.1|0.1|0.1|322|Mortality|411080354|Non-Hodgkin Lymphoma|2012-2016
0-14|1.0|1.1|1.0|3194|Incidence|305217663|Non-Hodgkin Lymphoma|2012-2016
0-19|1.2|1.3|1.3|5256|Incidence|411080354|Non-Hodgkin Lymphoma|2012-2016
0-14|0.4|0.5|0.4|1335|Mortality|305217663|Other|2012-2016
0-19|0.4|0.5|0.5|1912|Mortality|411080354|Other|2012-2016
0-14|4.2|4.4|4.3|13175|Incidence|305217663|Other|2012-2016
0-19|5.7|5.8|5.8|23905|Incidence|411080354|Other|2012-2016
0-14|0.1|0.2|0.2|490|Mortality|305217663|Soft Tissue|2012-2016
0-19|0.2|0.2|0.2|828|Mortality|411080354|Soft Tissue|2012-2016
0-14|1.0|1.1|1.1|3248|Incidence|305217663|Soft Tissue|2012-2016
0-19|1.0|1.1|1.1|4433|Incidence|411080354|Soft Tissue|2012-2016
0-14|0.2|0.3|0.2|141|Mortality|61069460|Acute Lymphocytic|2013
0-19|0.2|0.3|0.2|197|Mortality|82252861|Acute Lymphocytic|2013
0-14|3.6|3.9|3.7|2295|Incidence|61069460|Acute Lymphocytic|2013
0-19|3.1|3.3|3.2|2627|Incidence|82252861|Acute Lymphocytic|2013
0-14|0.2|0.2|0.2|127|Mortality|61069460|Acute Myeloid|2013
0-19|0.2|0.3|0.2|186|Mortality|82252861|Acute Myeloid|2013
0-14|0.7|0.8|0.7|438|Incidence|61069460|Acute Myeloid|2013
0-19|0.7|0.8|0.8|630|Incidence|82252861|Acute Myeloid|2013
0-14|2.0|2.2|2.1|1287|Mortality|61069460|All Cancer Sites Combined|2013
0-19|2.2|2.4|2.3|1914|Mortality|82252861|All Cancer Sites Combined|2013
0-14|16.9|17.5|17.2|10506|Incidence|61069460|All Cancer Sites Combined|2013
0-19|18.1|18.7|18.4|15200|Incidence|82252861|All Cancer Sites Combined|2013
0-14|0.1|0.1|0.1|72|Mortality|61069460|Bones and Joints|2013
0-19|0.2|0.3|0.2|180|Mortality|82252861|Bones and Joints|2013
0-14|0.7|0.8|0.8|467|Incidence|61069460|Bones and Joints|2013
0-19|0.9|1.0|0.9|780|Incidence|82252861|Bones and Joints|2013
0-14|0.7|0.8|0.7|437|Mortality|61069460|Brain and Other Nervous System|2013
0-19|0.6|0.7|0.7|556|Mortality|82252861|Brain and Other Nervous System|2013
0-14|3.6|3.9|3.8|2295|Incidence|61069460|Brain and Other Nervous System|2013
0-19|3.3|3.5|3.4|2784|Incidence|82252861|Brain and Other Nervous System|2013
0-14|~|~|~|~|Mortality|61069460|Hodgkin Lymphoma|2013
0-19|~|~|~|~|Mortality|82252861|Hodgkin Lymphoma|2013
0-14|0.5|0.6|0.6|336|Incidence|61069460|Hodgkin Lymphoma|2013
