AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Malignant|~|40576293|Female|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Malignant|~|40632786|Female|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Malignant|~|40460864|Female|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Malignant|~|40307649|Female|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|201002181|Female|Neuroepithelial|2012-2016|~|~|~
0-19|0.0|0.0|0.0|Malignant|32|201002181|Female|Neuroepithelial|2012-2016|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|40212686|Female|Neuroepithelial|2013|~|~|~
0-19|~|~|~|Malignant|~|40212686|Female|Neuroepithelial|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Neuroepithelial|2014|~|~|~
0-19|~|~|~|Malignant|~|40155513|Female|Neuroepithelial|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Neuroepithelial|2015|~|~|~
0-19|~|~|~|Malignant|~|40153090|Female|Neuroepithelial|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Neuroepithelial|2016|~|~|~
0-19|~|~|~|Malignant|~|40173243|Female|Neuroepithelial|2016|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|115|39865121|Female|Neuronal/glial, neuronal|2004|0.2|0.3|0.3
0-19|0.0|0.1|0.1|Malignant|22|39865121|Female|Neuronal/glial, neuronal|2004|0.0|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|137|39998876|Female|Neuronal/glial, neuronal|2005|0.3|0.4|0.3
0-19|0.0|0.1|0.1|Malignant|26|39998876|Female|Neuronal/glial, neuronal|2005|0.0|0.1|0.1
0-19|0.2|0.4|0.3|Benign/Borderline|121|40165421|Female|Neuronal/glial, neuronal|2006|0.2|0.4|0.3
0-19|0.0|0.1|0.1|Malignant|24|40165421|Female|Neuronal/glial, neuronal|2006|0.0|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|138|40382360|Female|Neuronal/glial, neuronal|2007|0.3|0.4|0.3
0-19|0.1|0.1|0.1|Malignant|32|40382360|Female|Neuronal/glial, neuronal|2007|0.1|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|133|40576293|Female|Neuronal/glial, neuronal|2008|0.3|0.4|0.3
0-19|0.0|0.1|0.1|Malignant|28|40576293|Female|Neuronal/glial, neuronal|2008|0.0|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|137|40670476|Female|Neuronal/glial, neuronal|2009|0.3|0.4|0.3
0-19|0.0|0.1|0.0|Malignant|17|40670476|Female|Neuronal/glial, neuronal|2009|0.0|0.1|0.0
0-19|0.3|0.4|0.4|Benign/Borderline|144|40632786|Female|Neuronal/glial, neuronal|2010|0.3|0.4|0.4
0-19|0.0|0.1|0.0|Malignant|19|40632786|Female|Neuronal/glial, neuronal|2010|0.0|0.1|0.0
0-19|0.3|0.4|0.4|Benign/Borderline|152|40460864|Female|Neuronal/glial, neuronal|2011|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40460864|Female|Neuronal/glial, neuronal|2011|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|155|40307649|Female|Neuronal/glial, neuronal|2012|0.3|0.5|0.4
0-19|0.0|0.1|0.0|Malignant|16|40307649|Female|Neuronal/glial, neuronal|2012|0.0|0.1|0.0
0-19|0.4|0.4|0.4|Benign/Borderline|824|201002181|Female|Neuronal/glial, neuronal|2012-2016|0.4|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|108|201002181|Female|Neuronal/glial, neuronal|2012-2016|0.0|0.1|0.1
0-19|0.3|0.5|0.4|Benign/Borderline|160|40212686|Female|Neuronal/glial, neuronal|2013|0.3|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|23|40212686|Female|Neuronal/glial, neuronal|2013|0.0|0.1|0.1
0-19|0.3|0.5|0.4|Benign/Borderline|157|40155513|Female|Neuronal/glial, neuronal|2014|0.3|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|25|40155513|Female|Neuronal/glial, neuronal|2014|0.0|0.1|0.1
0-19|0.4|0.5|0.4|Benign/Borderline|168|40153090|Female|Neuronal/glial, neuronal|2015|0.4|0.5|0.4
0-19|0.0|0.1|0.0|Malignant|16|40153090|Female|Neuronal/glial, neuronal|2015|0.0|0.1|0.0
0-19|0.4|0.5|0.5|Benign/Borderline|184|40173243|Female|Neuronal/glial, neuronal|2016|0.4|0.5|0.5
0-19|0.0|0.1|0.1|Malignant|28|40173243|Female|Neuronal/glial, neuronal|2016|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Oligodendroglioma|2004|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|39865121|Female|Oligodendroglioma|2004|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Oligodendroglioma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|23|39998876|Female|Oligodendroglioma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Oligodendroglioma|2006|~|~|~
0-19|0.0|0.1|0.1|Malignant|27|40165421|Female|Oligodendroglioma|2006|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Oligodendroglioma|2007|~|~|~
0-19|0.0|0.1|0.1|Malignant|29|40382360|Female|Oligodendroglioma|2007|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Oligodendroglioma|2008|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40576293|Female|Oligodendroglioma|2008|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Oligodendroglioma|2009|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|40670476|Female|Oligodendroglioma|2009|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Oligodendroglioma|2010|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|40632786|Female|Oligodendroglioma|2010|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Oligodendroglioma|2011|~|~|~
0-19|0.0|0.1|0.0|Malignant|19|40460864|Female|Oligodendroglioma|2011|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Oligodendroglioma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|22|40307649|Female|Oligodendroglioma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|201002181|Female|Oligodendroglioma|2012-2016|~|~|~
0-19|0.0|0.1|0.0|Malignant|96|201002181|Female|Oligodendroglioma|2012-2016|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40212686|Female|Oligodendroglioma|2013|~|~|~
0-19|~|~|~|Malignant|~|40212686|Female|Oligodendroglioma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Oligodendroglioma|2014|~|~|~
0-19|0.0|0.1|0.1|Malignant|21|40155513|Female|Oligodendroglioma|2014|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Oligodendroglioma|2015|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40153090|Female|Oligodendroglioma|2015|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Oligodendroglioma|2016|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|40173243|Female|Oligodendroglioma|2016|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Other mesenchymal|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Other mesenchymal|2004|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|17|39998876|Female|Other mesenchymal|2005|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|39998876|Female|Other mesenchymal|2005|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|18|40165421|Female|Other mesenchymal|2006|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40165421|Female|Other mesenchymal|2006|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|40382360|Female|Other mesenchymal|2007|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40382360|Female|Other mesenchymal|2007|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|19|40576293|Female|Other mesenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40576293|Female|Other mesenchymal|2008|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|29|40670476|Female|Other mesenchymal|2009|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40670476|Female|Other mesenchymal|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|24|40632786|Female|Other mesenchymal|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40632786|Female|Other mesenchymal|2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|26|40460864|Female|Other mesenchymal|2011|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40460864|Female|Other mesenchymal|2011|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|51|40307649|Female|Other mesenchymal|2012|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|40307649|Female|Other mesenchymal|2012|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|231|201002181|Female|Other mesenchymal|2012-2016|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|26|201002181|Female|Other mesenchymal|2012-2016|0.0|0.0|0.0
0-19|0.1|0.1|0.1|Benign/Borderline|40|40212686|Female|Other mesenchymal|2013|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40212686|Female|Other mesenchymal|2013|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|40|40155513|Female|Other mesenchymal|2014|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40155513|Female|Other mesenchymal|2014|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|50|40153090|Female|Other mesenchymal|2015|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|40153090|Female|Other mesenchymal|2015|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|50|40173243|Female|Other mesenchymal|2016|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|40173243|Female|Other mesenchymal|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Pilocytic astrocytoma|2004|~|~|~
0-19|0.7|0.9|0.8|Malignant|329|39865121|Female|Pilocytic astrocytoma|2004|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Pilocytic astrocytoma|2005|~|~|~
0-19|0.7|0.9|0.8|Malignant|322|39998876|Female|Pilocytic astrocytoma|2005|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Pilocytic astrocytoma|2006|~|~|~
0-19|0.7|0.9|0.8|Malignant|317|40165421|Female|Pilocytic astrocytoma|2006|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Pilocytic astrocytoma|2007|~|~|~
0-19|0.7|0.9|0.8|Malignant|334|40382360|Female|Pilocytic astrocytoma|2007|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Pilocytic astrocytoma|2008|~|~|~
0-19|0.7|0.9|0.8|Malignant|335|40576293|Female|Pilocytic astrocytoma|2008|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Pilocytic astrocytoma|2009|~|~|~
0-19|0.8|1.0|0.9|Malignant|350|40670476|Female|Pilocytic astrocytoma|2009|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Pilocytic astrocytoma|2010|~|~|~
0-19|0.9|1.1|1.0|Malignant|392|40632786|Female|Pilocytic astrocytoma|2010|0.9|1.1|1.0
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Pilocytic astrocytoma|2011|~|~|~
0-19|0.8|1.0|0.9|Malignant|356|40460864|Female|Pilocytic astrocytoma|2011|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Pilocytic astrocytoma|2012|~|~|~
0-19|0.8|1.0|0.9|Malignant|374|40307649|Female|Pilocytic astrocytoma|2012|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|201002181|Female|Pilocytic astrocytoma|2012-2016|~|~|~
0-19|0.9|0.9|0.9|Malignant|1795|201002181|Female|Pilocytic astrocytoma|2012-2016|0.9|0.9|0.9
0-19|~|~|~|Benign/Borderline|~|40212686|Female|Pilocytic astrocytoma|2013|~|~|~
0-19|0.8|1.0|0.9|Malignant|362|40212686|Female|Pilocytic astrocytoma|2013|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Pilocytic astrocytoma|2014|~|~|~
0-19|0.9|1.1|1.0|Malignant|397|40155513|Female|Pilocytic astrocytoma|2014|0.9|1.1|1.0
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Pilocytic astrocytoma|2015|~|~|~
0-19|0.8|1.0|0.9|Malignant|347|40153090|Female|Pilocytic astrocytoma|2015|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Pilocytic astrocytoma|2016|~|~|~
0-19|0.7|0.9|0.8|Malignant|315|40173243|Female|Pilocytic astrocytoma|2016|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Pineal parenchymal|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Pineal parenchymal|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Pineal parenchymal|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Pineal parenchymal|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Pineal parenchymal|2008|~|~|~
0-19|0.0|0.1|0.0|Malignant|19|40576293|Female|Pineal parenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Pineal parenchymal|2010|~|~|~
0-19|~|~|~|Malignant|~|40632786|Female|Pineal parenchymal|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Pineal parenchymal|2011|~|~|~
0-19|~|~|~|Malignant|~|40460864|Female|Pineal parenchymal|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Pineal parenchymal|2012|~|~|~
0-19|~|~|~|Malignant|~|40307649|Female|Pineal parenchymal|2012|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|26|201002181|Female|Pineal parenchymal|2012-2016|0.0|0.0|0.0
0-19|0.0|0.1|0.0|Malignant|81|201002181|Female|Pineal parenchymal|2012-2016|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40212686|Female|Pineal parenchymal|2013|~|~|~
0-19|~|~|~|Malignant|~|40212686|Female|Pineal parenchymal|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Pineal parenchymal|2014|~|~|~
0-19|0.0|0.1|0.0|Malignant|16|40155513|Female|Pineal parenchymal|2014|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Pineal parenchymal|2015|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|40153090|Female|Pineal parenchymal|2015|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Pineal parenchymal|2016|~|~|~
0-19|~|~|~|Malignant|~|40173243|Female|Pineal parenchymal|2016|~|~|~
0-19|0.6|0.7|0.7|Benign/Borderline|269|39865121|Female|Pituitary|2004|0.6|0.8|0.7
0-19|~|~|~|Malignant|~|39865121|Female|Pituitary|2004|~|~|~
0-19|0.7|0.8|0.7|Benign/Borderline|304|39998876|Female|Pituitary|2005|0.7|0.9|0.8
0-19|~|~|~|Malignant|~|39998876|Female|Pituitary|2005|~|~|~
0-19|0.8|0.9|0.8|Benign/Borderline|350|40165421|Female|Pituitary|2006|0.8|1.0|0.9
0-19|~|~|~|Malignant|~|40165421|Female|Pituitary|2006|~|~|~
0-19|0.7|0.9|0.8|Benign/Borderline|333|40382360|Female|Pituitary|2007|0.7|0.9|0.8
0-19|~|~|~|Malignant|~|40382360|Female|Pituitary|2007|~|~|~
0-19|0.8|1.0|0.9|Benign/Borderline|396|40576293|Female|Pituitary|2008|0.9|1.1|1.0
0-19|~|~|~|Malignant|~|40576293|Female|Pituitary|2008|~|~|~
0-19|0.8|1.0|0.9|Benign/Borderline|390|40670476|Female|Pituitary|2009|0.9|1.1|1.0
0-19|~|~|~|Malignant|~|40670476|Female|Pituitary|2009|~|~|~
0-19|1.0|1.2|1.1|Benign/Borderline|450|40632786|Female|Pituitary|2010|1.0|1.2|1.1
0-19|~|~|~|Malignant|~|40632786|Female|Pituitary|2010|~|~|~
0-19|1.0|1.2|1.1|Benign/Borderline|454|40460864|Female|Pituitary|2011|1.0|1.2|1.1
0-19|~|~|~|Malignant|~|40460864|Female|Pituitary|2011|~|~|~
0-19|1.1|1.3|1.2|Benign/Borderline|478|40307649|Female|Pituitary|2012|1.1|1.3|1.2
0-19|~|~|~|Malignant|~|40307649|Female|Pituitary|2012|~|~|~
0-19|1.1|1.2|1.2|Benign/Borderline|2376|201002181|Female|Pituitary|2012-2016|1.1|1.2|1.2
0-19|~|~|~|Malignant|~|201002181|Female|Pituitary|2012-2016|~|~|~
0-19|1.0|1.2|1.1|Benign/Borderline|454|40212686|Female|Pituitary|2013|1.0|1.2|1.1
0-19|~|~|~|Malignant|~|40212686|Female|Pituitary|2013|~|~|~
0-19|1.1|1.3|1.2|Benign/Borderline|486|40155513|Female|Pituitary|2014|1.1|1.3|1.2
0-19|~|~|~|Malignant|~|40155513|Female|Pituitary|2014|~|~|~
0-19|1.0|1.3|1.1|Benign/Borderline|465|40153090|Female|Pituitary|2015|1.1|1.3|1.2
0-19|~|~|~|Malignant|~|40153090|Female|Pituitary|2015|~|~|~
0-19|1.1|1.3|1.2|Benign/Borderline|493|40173243|Female|Pituitary|2016|1.1|1.3|1.2
0-19|~|~|~|Malignant|~|40173243|Female|Pituitary|2016|~|~|~
0-19|1.8|2.1|2.0|Benign/Borderline|786|39865121|Female|Total|2004|1.8|2.1|2.0
0-19|3.1|3.5|3.3|Malignant|1306|39865121|Female|Total|2004|3.1|3.5|3.3
0-19|2.2|2.5|2.3|Benign/Borderline|945|39998876|Female|Total|2005|2.2|2.5|2.4
0-19|2.9|3.3|3.1|Malignant|1238|39998876|Female|Total|2005|2.9|3.3|3.1
0-19|2.2|2.5|2.4|Benign/Borderline|960|40165421|Female|Total|2006|2.2|2.5|2.4
0-19|2.9|3.2|3.1|Malignant|1229|40165421|Female|Total|2006|2.9|3.2|3.1
0-19|2.2|2.5|2.4|Benign/Borderline|977|40382360|Female|Total|2007|2.3|2.6|2.4
0-19|3.0|3.4|3.2|Malignant|1296|40382360|Female|Total|2007|3.0|3.4|3.2
0-19|2.4|2.7|2.6|Benign/Borderline|1060|40576293|Female|Total|2008|2.5|2.8|2.6
0-19|3.0|3.4|3.2|Malignant|1287|40576293|Female|Total|2008|3.0|3.3|3.2
0-19|2.5|2.8|2.6|Benign/Borderline|1082|40670476|Female|Total|2009|2.5|2.8|2.7
0-19|3.0|3.4|3.2|Malignant|1292|40670476|Female|Total|2009|3.0|3.4|3.2
0-19|2.6|3.0|2.8|Benign/Borderline|1149|40632786|Female|Total|2010|2.7|3.0|2.8
0-19|3.0|3.4|3.2|Malignant|1302|40632786|Female|Total|2010|3.0|3.4|3.2
0-19|2.7|3.1|2.9|Benign/Borderline|1180|40460864|Female|Total|2011|2.8|3.1|2.9
0-19|3.2|3.5|3.3|Malignant|1347|40460864|Female|Total|2011|3.2|3.5|3.3
0-19|2.9|3.2|3.0|Benign/Borderline|1228|40307649|Female|Total|2012|2.9|3.2|3.0
0-19|2.9|3.2|3.1|Malignant|1231|40307649|Female|Total|2012|2.9|3.2|3.1
0-19|3.0|3.1|3.0|Benign/Borderline|6122|201002181|Female|Total|2012-2016|3.0|3.1|3.0
0-19|3.1|3.3|3.2|Malignant|6425|201002181|Female|Total|2012-2016|3.1|3.3|3.2
0-19|2.9|3.2|3.0|Benign/Borderline|1227|40212686|Female|Total|2013|2.9|3.2|3.1
0-19|3.2|3.5|3.3|Malignant|1343|40212686|Female|Total|2013|3.2|3.5|3.3
0-19|2.9|3.2|3.0|Benign/Borderline|1220|40155513|Female|Total|2014|2.9|3.2|3.0
0-19|3.2|3.6|3.4|Malignant|1359|40155513|Female|Total|2014|3.2|3.6|3.4
0-19|2.9|3.3|3.1|Benign/Borderline|1246|40153090|Female|Total|2015|2.9|3.3|3.1
0-19|2.9|3.3|3.1|Malignant|1251|40153090|Female|Total|2015|2.9|3.3|3.1
0-19|2.8|3.1|3.0|Benign/Borderline|1201|40173243|Female|Total|2016|2.8|3.2|3.0
0-19|2.9|3.3|3.1|Malignant|1241|40173243|Female|Total|2016|2.9|3.3|3.1
0-19|0.2|0.3|0.3|Benign/Borderline|114|39865121|Female|Tumors of Cranial and Spinal Nerves|2004|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|39865121|Female|Tumors of Cranial and Spinal Nerves|2004|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|162|39998876|Female|Tumors of Cranial and Spinal Nerves|2005|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|39998876|Female|Tumors of Cranial and Spinal Nerves|2005|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|155|40165421|Female|Tumors of Cranial and Spinal Nerves|2006|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|40165421|Female|Tumors of Cranial and Spinal Nerves|2006|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|128|40382360|Female|Tumors of Cranial and Spinal Nerves|2007|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40382360|Female|Tumors of Cranial and Spinal Nerves|2007|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|143|40576293|Female|Tumors of Cranial and Spinal Nerves|2008|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40576293|Female|Tumors of Cranial and Spinal Nerves|2008|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|154|40670476|Female|Tumors of Cranial and Spinal Nerves|2009|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40670476|Female|Tumors of Cranial and Spinal Nerves|2009|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|130|40632786|Female|Tumors of Cranial and Spinal Nerves|2010|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40632786|Female|Tumors of Cranial and Spinal Nerves|2010|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|131|40460864|Female|Tumors of Cranial and Spinal Nerves|2011|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40460864|Female|Tumors of Cranial and Spinal Nerves|2011|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|138|40307649|Female|Tumors of Cranial and Spinal Nerves|2012|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40307649|Female|Tumors of Cranial and Spinal Nerves|2012|~|~|~
0-19|0.3|0.3|0.3|Benign/Borderline|651|201002181|Female|Tumors of Cranial and Spinal Nerves|2012-2016|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|201002181|Female|Tumors of Cranial and Spinal Nerves|2012-2016|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|140|40212686|Female|Tumors of Cranial and Spinal Nerves|2013|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40212686|Female|Tumors of Cranial and Spinal Nerves|2013|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|100|40155513|Female|Tumors of Cranial and Spinal Nerves|2014|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40155513|Female|Tumors of Cranial and Spinal Nerves|2014|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|154|40153090|Female|Tumors of Cranial and Spinal Nerves|2015|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40153090|Female|Tumors of Cranial and Spinal Nerves|2015|~|~|~
0-19|0.2|0.4|0.3|Benign/Borderline|119|40173243|Female|Tumors of Cranial and Spinal Nerves|2016|0.2|0.4|0.3
0-19|~|~|~|Malignant|~|40173243|Female|Tumors of Cranial and Spinal Nerves|2016|~|~|~
0-19|0.4|0.5|0.5|Benign/Borderline|190|39865121|Female|Tumors of Neuroepthelial Tissue|2004|0.4|0.5|0.5
0-19|2.9|3.2|3.0|Malignant|1208|39865121|Female|Tumors of Neuroepthelial Tissue|2004|2.9|3.2|3.0
0-19|0.4|0.6|0.5|Benign/Borderline|197|39998876|Female|Tumors of Neuroepthelial Tissue|2005|0.4|0.6|0.5
0-19|2.7|3.1|2.9|Malignant|1148|39998876|Female|Tumors of Neuroepthelial Tissue|2005|2.7|3.0|2.9
0-19|0.4|0.6|0.5|Benign/Borderline|200|40165421|Female|Tumors of Neuroepthelial Tissue|2006|0.4|0.6|0.5
0-19|2.7|3.1|2.9|Malignant|1159|40165421|Female|Tumors of Neuroepthelial Tissue|2006|2.7|3.1|2.9
0-19|0.5|0.6|0.6|Benign/Borderline|230|40382360|Female|Tumors of Neuroepthelial Tissue|2007|0.5|0.6|0.6
0-19|2.9|3.2|3.1|Malignant|1233|40382360|Female|Tumors of Neuroepthelial Tissue|2007|2.9|3.2|3.1
0-19|0.5|0.6|0.6|Benign/Borderline|227|40576293|Female|Tumors of Neuroepthelial Tissue|2008|0.5|0.6|0.6
0-19|2.9|3.2|3.0|Malignant|1232|40576293|Female|Tumors of Neuroepthelial Tissue|2008|2.9|3.2|3.0
0-19|0.5|0.6|0.5|Benign/Borderline|214|40670476|Female|Tumors of Neuroepthelial Tissue|2009|0.5|0.6|0.5
0-19|2.8|3.2|3.0|Malignant|1211|40670476|Female|Tumors of Neuroepthelial Tissue|2009|2.8|3.2|3.0
0-19|0.5|0.6|0.6|Benign/Borderline|232|40632786|Female|Tumors of Neuroepthelial Tissue|2010|0.5|0.6|0.6
0-19|2.8|3.2|3.0|Malignant|1221|40632786|Female|Tumors of Neuroepthelial Tissue|2010|2.8|3.2|3.0
0-19|0.5|0.7|0.6|Benign/Borderline|244|40460864|Female|Tumors of Neuroepthelial Tissue|2011|0.5|0.7|0.6
0-19|3.0|3.3|3.1|Malignant|1266|40460864|Female|Tumors of Neuroepthelial Tissue|2011|3.0|3.3|3.1
0-19|0.6|0.7|0.6|Benign/Borderline|255|40307649|Female|Tumors of Neuroepthelial Tissue|2012|0.6|0.7|0.6
0-19|2.7|3.1|2.9|Malignant|1167|40307649|Female|Tumors of Neuroepthelial Tissue|2012|2.7|3.1|2.9
